207, 282, 1
2285, 2368, 1
1390, 1558, 1
2071, 2100, 1
2230, 2385, 1
1456, 1536, 1
2148, 2281, 1
1619, 1817, 1
441, 750, 1
477, 679, 1
1131, 1255, 1
1630, 1767, 1
2050, 2241, 1
1344, 1440, 1
2568, 2626, 1
1747, 1925, 1
825, 1040, 1
1498, 1601, 1
2092, 2227, 1
2073, 2280, 1
1366, 1549, 1
115, 163, 1
766, 929, 1
1761, 1895, 1
267, 274, 1
303, 309, 1
2343, 2352, 1
1813, 1825, 1
1331, 1339, 1
238, 250, 1
53, 66, 1
2052, 2060, 1
622, 631, 1
294, 303, 1
1802, 1816, 1
253, 569, 1
60, 374, 1
71, 88, 1
0, 0, 0
0, 0, 0
220, 226, 1
1966, 1973, 1
0, 0, 0
0, 0, 0
